Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
106,RERA-PKL-947-2021,RISHIKA COUNTY,HRERA-PKL-SNP-262-2021,RISHIKA BUILDTECH PRIVATE LIMITED,SECTOR 9 & 18,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1667 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1667
107,RERA-PKL-1574-2024,INDIABULLS GREEN AVENUE,HRERA-PKL-SNP-676-2025,INDIABULLS URBANRESIDENCY LIMITED,"REVENUE ESTATE OF VILLAGE KHARKHAUDA, SECTOR-2, KHARKHAUDA,",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3208 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3208
108,RERA-PKL-1137-2022,GOPAL ENCLAVE,HRERA-PKL-SNP-399-2023,BGCC DEVELOPERS PRIVATE LIMITED,SECTOR 10 AND SECTOR 11,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2137 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2137
109,RERA-PKL-1223-2023,KBD34,HRERA-PKL-SNP-445-2023,KRISTINA INFRASTRUCTURE PRIVATE LIMITED,"SECTOR-26, 26A, 33 & 34 SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2354 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2354
110,RERA-PKL-1275-2023,ORANGE CITY,HRERA-PKL-SNP-491-2023,RAM SETU BUILDWELL PRIVATE LIMITED,"VILLAGE RATHDHANA, SECTOR- 34",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2462 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2462
112,RERA-PKL-1105-2022,GODREJ GREEN ESTATE,HRERA-PKL-SNP-348-2022,OASIS LANDMARKS LLP,"SECTOR 34, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2060 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2060
113,RERA-PKL-1241-2023,GLOBUS INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-431-2023,Y P INFRATECH PRIVATE LIMITED,"VILLAGE ROHAT, KHARKHAUDA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2392 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2392
114,RERA-PKL-1146-2022,SAFFRON GRAND,HRERA-PKL-SNP-388-2022,M/S. SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED,"VILLAGE RATHDHANA, SECTOR - 33",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2155 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2155
115,RERA-PKL-1057-2022,TULIP CITY SONIPAT PHASE-II,HRERA-PKL-SNP-408-2023,CREATIVE BUILDWELL PRIVATE LIMITED,"VILLAGE REVLI, SECTOR-17, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1950 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1950
116,RERA-PKL-1173-2022,SIDDHARTHA RESIDENCY,HRERA-PKL-SNP-411-2023,RAHUL MANGLA FOOD PROCESSING & COLD STORAGE PRIVATE LIMITED,"SECTOR-12, PATTI MUSALMAN,",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2213 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2213
117,RERA-PKL-1033-2022,MAPSKO GARDEN ESTATE,HRERA-PKL-SNP-343-2022,MAPSKO BUILDERS PVT LTD,"SECTOR 26, 26A & 27",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1901 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1901
118,RERA-PKL-1377-2023,ANANDAM,HRERA-PKL-SNP-549-2024,REGARDS DELVELOPERS PRIVATE LIMITED,"VILLAGE NANGAL KALAN, SECTOR-63,SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2698 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2698
119,RERA-PKL-1399-2023,MANSHA HERITAGE,HRERA-PKL-SNP-588-2024,MANSHA BUILDCON PVT. LTD.,"VILLAGE KAMASHPUR SECTOR 83-84, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2752 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2752
120,RERA-PKL-1247-2023,GOKUL GREEN,HRERA-PKL-SNP-434-2023,SKYLARK FLYING REAL ESTATE PRIVATE LIMITED,"VILLAGE RATHDHANA, SECTOR 35",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2406 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2406
121,RERA-PKL-1590-2024,CRAFT RESIDENCIES,HRERA-PKL-SNP-662-2025,M/S SHRI RAM SHARANAM CONSULTANTS PVT. LTD.,VILLAGE AHMADPUR SECTOR 27,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3250 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3250
122,RERA-PKL-1277-2023,ARORA INDUSTRIAL PARK,HRERA-PKL-SNP-506-2023,SPJ PROMOTERS PRIVATE LIMITED,"REVENUE ESTATE ,VILLAGE KUNDLI, TEHSIL RAI SECTOR 47,",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2477 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2477
123,RERA-PKL-1184-2022,MAPSKO ASPR GREENZ,HRERA-PKL-SNP-397-2023,MAPSKO BUILDERS PVT LTD,SECTOR - 35,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2252 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2252
124,RERA-PKL-1389-2023,CRAFT HOMES,HRERA-PKL-SNP-537-2024,M/S SHRI RAM SHARANAM CONSULTANTS PVT. LTD.,"VILLAGE AHMADPUR, SECTOR 27",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2726 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2726
125,RERA-PKL-1357-2023,BLUE DIAMOND  RESIDENCY,HRERA-PKL-SNP-542-2024,M/S MATHUR DEVELOPERS & INFRASTRUCTURES PRIVATE LIMITED,"VILLAGE MURTHAL SECTOR-87, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2657 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2657
127,RERA-PKL-1306-2023,RISHIKA COMMERCIAL SQUARE,HRERA-PKL-SNP-481-2023,SNB REALITY PRIVATE LIMITED,"VILLAGE GARH SHEHJANPUR, SECTOR-16",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2538 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2538
128,RERA-PKL-1312-2023,RISHIKA VALLEY,HRERA-PKL-SNP-502-2023,RISHIKA EDIFICE LLP,"VILLAGE BAROT, SECTOR 28",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2557 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2557
129,RERA-PKL-1296-2023,RISHIKA ESTATE,HRERA-PKL-SNP-490-2023,AT EDUCON PRIVATE LIMITED,"SECTOR 58, VILLAGE RASOI",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2512 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2512
130,RERA-PKL-1314-2023,P P GREEN CITY-2,HRERA-PKL-SNP-526-2023,GPB TRADING LLP,VILLAGE KAMASPUR SECTOR 83-84,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2559 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2559
131,RERA-PKL-1324-2023,JINDAL SMART CITY,HRERA-PKL-SNP-499-2023,JINDAL REALTY LIMITED,SECTOR 34,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2579 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2579
132,RERA-PKL-1332-2023,MAPSKO GARDENIA,HRERA-PKL-SNP-522-2023,KAIRAV INFRASTRUCTURE PRIVATE LIMITED,SECTOR - 26A,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2598 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2598
133,RERA-PKL-1328-2023,JOY CITY,HRERA-PKL-SNP-497-2023,GRAND IMPERIAL DEVELOPERS LLP,PATTI MUSALMANAN SECTOR 92,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2585 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2585
136,RERA-PKL-1409-2024,RISHITAM CITY,HRERA-PKL-SNP-571-2024,RISHIKA STRUCTURE LLP,SECTOR 4 KHARKHAUDA,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2774 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2774
137,RERA-PKL-1385-2023,MAHADEV INDUSTRIAL TOWNSHIP (MIT),HRERA-PKL-SNP-559-2024,MAHADEV UNITED INFRASTRUCTURE PVT. LTD.,VILLAGE ANADPUR AND JHAROTH TEHSIL KHARKAHUDA,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2713 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2713
138,RERA-PKL-1395-2023,ELITE HOMES+O2 HOME,HRERA-PKL-SNP-548-2024,Y P INFRATECH PVT. LTD.,VILLAGE KALUPUR SECTOR 24,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2738 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2738
139,RERA-PKL-1437-2024,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP - PHASE 3,HRERA-PKL-SNP-582-2024,SYSCOM EDUTECH PRIVATE LIMITED,"VILLAGE JAWAHARI AND DEVRU, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2847 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2847
140,RERA-PKL-1444-2024,THE GOLDEN AVENUE,HRERA-PKL-SNP-583-2024,MANJESH,"VILLAGE RATHDHANA, SECTOR-33",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2865 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2865
141,RERA-PKL-1464-2024,ONEPRASTHA SONIPAT,HRERA-PKL-SNP-591-2024,NEW SOHNA WAREHOUSING PVT. LTD.,VILLAGE MURTHAL SECTOR 87,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2919 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2919
142,RERA-PKL-1482-2024,VISION PRIDE,HRERA-PKL-SNP-605-2024,JINDAL INFRA BUILD PRIVATE LIMITED,VILLAGE GARH SHJANPUR SECTOR 17,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2962 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2962
147,RERA-PKL-1454-2024,RAJDHANI COUNTY,HRERA-PKL-SNP-597-2024,KESHU PROMOTERS LLP,SECTOR 7 KHARKHODA,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2900 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2900
148,RERA-PKL-1487-2024,ELDECO AMOR VILLA,HRERA-PKL-SNP-643-2024,ELDECO INFRACON REALTORS LIMITED,SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2983 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2983
149,RERA-PKL-40-2018,TULIP GRAND ON LAND MEASURING 15.055 ACRES,HRERA-PKL-SNP-93-2019,TULIP INFRATECH PVT LTD,"SECTOR-35, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/54 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/54
152,RERA-PKL-1608-2025,ORION CITY,HRERA-PKL-SNP-674-2025,ORION TECH PARK DEVELOPERS LLP,"SECTOR-4, VILLAGE GOPALPUR",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3295 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3295
153,RERA-PKL-1508-2024,ELDECO AMAYA VILLA,HRERA-PKL-SNP-629-2024,ELDECO GREEN PARK INFRSTRUCTURE LIMITED,SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3036 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3036
154,RERA-PKL-1613-2025,NEWSTONE GARDENS 1,HRERA-PKL-SNP-671-2025,RPT ESTATE PVT. LTD.,"VILLAGE NANGAL KALAN SECTOR 64, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3300 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3300
155,RERA-PKL-1520-2024,GOKUL ESTATE,HRERA-PKL-SNP-617-2024,SKYLARK FLYING REAL ESTATE PRIVATE LIMITED,VILLAGE RATHDHANA SECTOR 35,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3065 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3065
156,RERA-PKL-1527-2024,NV CITY,HRERA-PKL-SNP-630-2024,SNPC GLOBAL RESIDENCY LLP,VILLAGE BARONA AND KHARKHAUDA-11 SECTOR-10A,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3080 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3080
159,RERA-PKL-1535-2024,KATYAL RAMAYA,HRERA-PKL-SNP-623-2024,SC HOTELS AND RESORTS PVT LTD,VILLAGE KUMASPUR SECTOR 81,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3099 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3099
