developer_key,promoter_names,n_projects,projects,reg_numbers
NEW ERA INFRASTRUCTURE,NEW ERA INFRASTRUCTURE PRIVATE LIMITED,1,SOUTH CITY,HRERA-PKL-SNP-256-2021
RISHIKA BUILDTECH,RISHIKA BUILDTECH PRIVATE LIMITED,1,RISHIKA COUNTY,HRERA-PKL-SNP-262-2021
INDIABULL URBANRESIDENCY,INDIABULLS URBANRESIDENCY LIMITED,1,INDIABULLS GREEN AVENUE,HRERA-PKL-SNP-676-2025
BGCC DEVELOPER,BGCC DEVELOPERS PRIVATE LIMITED,1,GOPAL ENCLAVE,HRERA-PKL-SNP-399-2023
KRISTINA INFRASTRUCTURE,KRISTINA INFRASTRUCTURE PRIVATE LIMITED,1,KBD34,HRERA-PKL-SNP-445-2023
OASI LANDMARK,OASIS LANDMARKS LLP,1,GODREJ GREEN ESTATE,HRERA-PKL-SNP-348-2022
M SAMYAK PROPERTIE INFRASTRUCTURE,M/S. SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED,1,SAFFRON GRAND,HRERA-PKL-SNP-388-2022
RAHUL MANGLA FOOD PROCESSING COLD STORAGE,RAHUL MANGLA FOOD PROCESSING & COLD STORAGE PRIVATE LIMITED,1,SIDDHARTHA RESIDENCY,HRERA-PKL-SNP-411-2023
REGARD DELVELOPER,REGARDS DELVELOPERS PRIVATE LIMITED,1,ANANDAM,HRERA-PKL-SNP-549-2024
SPJ PROMOTER,SPJ PROMOTERS PRIVATE LIMITED,1,ARORA INDUSTRIAL PARK,HRERA-PKL-SNP-506-2023
M MATHUR DEVELOPER INFRASTRUCTURE,M/S MATHUR DEVELOPERS & INFRASTRUCTURES PRIVATE LIMITED,1,BLUE DIAMOND  RESIDENCY,HRERA-PKL-SNP-542-2024
SNB REALITY,SNB REALITY PRIVATE LIMITED,1,RISHIKA COMMERCIAL SQUARE,HRERA-PKL-SNP-481-2023
RISHIKA EDIFICE,RISHIKA EDIFICE LLP,1,RISHIKA VALLEY,HRERA-PKL-SNP-502-2023
AT EDUCON,AT EDUCON PRIVATE LIMITED,1,RISHIKA ESTATE,HRERA-PKL-SNP-490-2023
KAIRAV INFRASTRUCTURE,KAIRAV INFRASTRUCTURE PRIVATE LIMITED,1,MAPSKO GARDENIA,HRERA-PKL-SNP-522-2023
GRAND IMPERIAL DEVELOPER,GRAND IMPERIAL DEVELOPERS LLP,1,JOY CITY,HRERA-PKL-SNP-497-2023
RISHIKA STRUCTURE,RISHIKA STRUCTURE LLP,1,RISHITAM CITY,HRERA-PKL-SNP-571-2024
MAHADEV UNITED INFRASTRUCTURE,MAHADEV UNITED INFRASTRUCTURE PVT. LTD.,1,MAHADEV INDUSTRIAL TOWNSHIP (MIT),HRERA-PKL-SNP-559-2024
MANJESH,MANJESH,1,THE GOLDEN AVENUE,HRERA-PKL-SNP-583-2024
NEW SOHNA WAREHOUSING,NEW SOHNA WAREHOUSING PVT. LTD.,1,ONEPRASTHA SONIPAT,HRERA-PKL-SNP-591-2024
JINDAL INFRA BUILD,JINDAL INFRA BUILD PRIVATE LIMITED,1,VISION PRIDE,HRERA-PKL-SNP-605-2024
KESHU PROMOTER,KESHU PROMOTERS LLP,1,RAJDHANI COUNTY,HRERA-PKL-SNP-597-2024
TULIP INFRATECH,TULIP INFRATECH PVT LTD,1,TULIP GRAND ON LAND MEASURING 15.055 ACRES,HRERA-PKL-SNP-93-2019
ORION TECH PARK DEVELOPER,ORION TECH PARK DEVELOPERS LLP,1,ORION CITY,HRERA-PKL-SNP-674-2025
RPT ESTATE,RPT ESTATE PVT. LTD.,1,NEWSTONE GARDENS 1,HRERA-PKL-SNP-671-2025
SNPC GLOBAL RESIDENCY,SNPC GLOBAL RESIDENCY LLP,1,NV CITY,HRERA-PKL-SNP-630-2024
SC HOTEL RESORT,SC HOTELS AND RESORTS PVT LTD,1,KATYAL RAMAYA,HRERA-PKL-SNP-623-2024
QUARTERAGE DEVELOPER,QUARTERAGE DEVELOPERS PRIVATE LIMITED,1,MANTOSH,HRERA-PKL-SNP-631-2024
ELDECO GREEN PARK INFRASTRUCTURE,ELDECO GREEN PARK INFRASTRUCTURE LIMITED,1,ELDECO AMAYA COMMERCIAL,HRERA-PKL-SNP-701-2025
RIVERWOOD PROJECT,RIVERWOOD PROJECTS LLP,1,RIVERWOOD ESTATE,HRERA-PKL-SNP-751-2025
LOTU TRADING SECURITIE,LOTUS TRADING AND SECURITIES PRIVATE LIMITED,1,COMMERCIAL ONE,HRERA-PKL-SNP-642-2024
FLOWTECH ESTATE,FLOWTECH ESTATES PRIVATE LIMITED,1,AARANYA GREENS,HRERA-PKL-SNP-675-2025
LAXMI SON EMPIRE DEVELOPER,LAXMI SON EMPIRE DEVELOPER LLP,1,LAXMI CITY,HRERA-PKL-SNP-777-2025
ONE PRASTHA REALTY,ONE PRASTHA REALTY LLP,1,THE ELITE RESIDENCES BY ONE PRASTHA,HRERA-PKL-SNP-785-2025
KUNJ BEHARI MINE,KUNJ BEHARI MINES LLP,1,KUNJ BEHARI ENCLAVE,HRERA-PKL-SNP-786-2025
SOHA DEVELOPER,SOHA DEVELOPERS PRIVATE LIMITED,1,ARCONIA CITY,HRERA-PKL-SNP-802-2025
M GPB TRADING,M/S GPB TRADING LLP,1,PP GALLERIA,HRERA-PKL-SNP-850-2026
SHUBHASHOK IFNRA GROW,SHUBHASHOK IFNRA GROW LLP,1,ASHOKA CITY,HRERA-PKL-SNP-787-2025
M JAGRAMM INFRATECH,M/S JAGRAMM INFRATECH LLP,1,ALAN CITY,HRERA-PKL-SNP-803-2025
ARVEEN BUILD ESTATE,ARVEEN BUILD ESTATE LLP,1,SKYMARX HORIZON ONE,HRERA-PKL-SNP-797-2025
VISION PRIDE INFRATECH,VISION PRIDE INFRATECH PRIVATE LIMITED,1,VISION PRIDE GREEN,HRERA-PKL-SNP-833-2026
ULTIMATE REAL HOUSING,ULTIMATE REAL HOUSING PRIVATE LIMITED,1,ULTIMA TOWN,HRERA-PKL-SNP-691-2025
RRTITAM DEVELOPER,RRTITAM DEVELOPERS LLP,1,RISHIKA INDUSTRIAL CITY,HRERA-PKL-SNP-863-2026
PARKER INFRASTRUCTURE,PARKER INFRASTRUCTURE PRIVATE LIMITED,1,PARKER NIKETAN,HRERA-PKL-SNP-877-2026
M LANDLORD DEVELOPER,M/S LANDLORD DEVELOPERS PVT. LTD.,1,METRO CITY,HRERA-PKL-SNP-878-2026
RISHABH RESIDENCYLLP,RISHABH RESIDENCYLLP,1,NV CITY,HRERA-PKL-SNP-835-2026
KK DHANUKA ESTATE,KK DHANUKA ESTATES PVT LTD,1,AARAMBH GREENS,HRERA-PKL-SNP-869-2026
DEMEANOR CONSTRUCTION,DEMEANOR CONSTRUCTION PRIVATE LIMITED,1,GANAUR CENTRAL,HRERA-PKL-SNP-895-2026
SVSJ BUILDPROP,SVSJ BUILDPROP LLP,1,NIKUNJ CITY,HRERA-PKL-SNP-892-2026
SUREPAS INFRA,SUREPASS INFRA LLP,1,ROYAL GREEN COUNTY THE SELECT,HRERA-PKL-SNP-862-2026
MRIDA EXPRES CITY,MRIDA EXPRESS CITY LLP,1,AVANI EXPERIA,HRERA-PKL-SNP-855-2026
MANAV ASSOCIATESPRIVATE,MANAV ASSOCIATESPRIVATE LIMITED,1,SAVANAH GREENS,HRERA-PKL-SNP-708-2025
SHUBHASHOK INFRA GROW,SHUBHASHOK INFRA GROW LLP,1,ASHOKA GREENS,HRERA-PKL-SNP-870-2026
SONIPAT DEVRU VENTURE,SONIPAT DEVRU VENTURES LLP,1,THE ELITE ADDRESS,HRERA-PKL-SNP-899-2026
NATURE EARTH KHARKHODA,NATURE EARTH KHARKHODA LLP,1,RUDRA COUNTY,HRERA-PKL-SNP-890-2026
VARDAAN BUILDTECH,VARDAAN BUILDTECH PRIVATE LIMITED,1,RISHIKA CITY CENTRE,HRERA-PKL-SNP-840-2026
OAK HILL INFRA,OAK HILLS INFRA,1,AGAMYA PRIME,HRERA-PKL-SNP-901-2026
PTRT BUILDER,PTRT BUILDERS PRIVATE LIMITED,1,NEWSTONE PARK,HRERA-PKL-SNP-711-2025
SOUTH WEST BLIS,SOUTH WEST BLISS PRIVATE LIMITED,1,NEOLIV GRAND PARK,HRERA-PKL-SNP-698-2025
SUPERMAX AFFORDABLE HOUSING,SUPERMAX AFFORDABLE HOUSING PVT LTD,1,SUPERMAX AVENUE 35,HRERA-PKL-SNP-894-2026
UNILIANCE,UNILIANCE PRIVATE LIMITED,1,SHREE RAM RESIDENCY,HRERA-PKL-SNP-926-2026
RRITAM DREAMBUILDER,RRITAM DREAMBUILDERS LLP,1,SONIPAT INTERNATIONAL CITY BY RIGHTLAND,HRERA-PKL-SNP-927-2026
BENISON HOME,BENISONS HOMES LLP,1,NUGRAJ INDUSTRIAL PARK,HRERA-PKL-SNP-928-2026
NEXTRA DREAM TOWN REALTY,NEXTRA DREAM TOWN REALTY PVT. LTD.,1,NEXTRA CITY-3,HRERA-PKL-SNP-929-2026
MRIDA SEVEN ELEMENT,MRIDA SEVEN ELEMENT LLP,1,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP KHARKHODA,HRERA-PKL-SNP-936-2026
JBB EVEREST BUILDTECH,JBB EVEREST BUILDTECH PVT. LTD.,1,BTW GRAND SQUARE,HRERA-PKL-SNP-420-2023
KALPTARU DEVELOPER,KALPTARU DEVELOPERS PRIVATE LIMITED,1,KALPTARU RESIDENCY,HRERA-PKL-SNP-954-2026
