LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
245 OF 2023,15/11/2023,DDJAY-APHP,10.18,Sonipat,63,Regards Developers Pvt. Ltd.,14/11/2028,True,PARCEL-MATCH,100,name=100+sector,ANANDAM,HRERA-PKL-SNP-549-2024,REGARDS DELVELOPERS PRIVATE LIMITED
246 OF 2023,15/11/2023,DDJAY-APHP,6.81,Sonipat,17,TDI Realcon Pvt. Ltd.,14/11/2028,True,UNMATCHED,0,,,,
255 OF 2023,17/11/2023,DDJAY-APHP,14.1625,Kharkhauda,04,Rishika Structure LLP,16/11/2028,True,DEV-MATCH,100,name=100,RISHIKA GREENS,HRERA-PKL-SNP-361-2022,RISHIKA CONSTRUCTIONS LLP
261 OF 2023,07/12/2023,DDJAY-APHP,5.90625,Sonipat,33,Sh. Manjesh,06/12/2028,True,PARCEL-MATCH,100,name=100+sector,THE GOLDEN AVENUE,HRERA-PKL-SNP-583-2024,MANJESH
266 OF 2023,26/12/2023,RPL,21.13125,Sonipat,84,MANSHA BUILDCON PVT. LTD.,25/12/2028,True,PARCEL-MATCH,100,name=100+sector,AAGMAN,HRERA-PKL-SNP-775-2025,MANSHA BUILDCON PVT. LTD.
191 OF 2024,24/12/2024,RPL,5.51875,Sonipat,84,MANSHA BUILDCON PVT. LTD.,23/12/2029,True,PARCEL-MATCH,100,name=100+sector,AAGMAN,HRERA-PKL-SNP-775-2025,MANSHA BUILDCON PVT. LTD.
17 OF 2024,31/01/2024,DDJAY-APHP,7.6,Kharkhauda,7,Keshu Promoters LLP,30/01/2029,True,PARCEL-MATCH,100,name=100+sector,RAJDHANI COUNTY,HRERA-PKL-SNP-597-2024,KESHU PROMOTERS LLP
18 OF 2024,01/02/2024,DDJAY-APHP,8.60625,Sonipat,NA,New Sohna Warehousing Pvt. Ltd.,31/01/2029,True,DEV-MATCH,100,name=100,ONEPRASTHA SONIPAT,HRERA-PKL-SNP-591-2024,NEW SOHNA WAREHOUSING PVT. LTD.
61 OF 2024,12/06/2024,DDJAY-APHP,6.38125,Sonipat,35,Skylark Flying Real Estate Pvt. Ltd.,11/06/2029,True,PARCEL-MATCH,100,name=100+sector,GOKUL GREEN,HRERA-PKL-SNP-434-2023,SKYLARK FLYING REAL ESTATE PRIVATE LIMITED
83 OF 2024,12/07/2024,DDJAY-APHP,5.4625,Sonipat,64,RPT Estates Pvt. Ltd.,11/07/2029,True,PARCEL-MATCH,100,name=100+sector,NEWSTONE GARDENS 1,HRERA-PKL-SNP-671-2025,RPT ESTATE PVT. LTD.
94 OF 2024,25/07/2024,DDJAY-APHP,8.125,Kharkhauda,NA,SNPC Global Residency LLP,24/07/2029,True,DEV-MATCH,100,name=100,NV CITY- I,HRERA-PKL-SNP-853-2026,SNPC RESIDENCY LIMITED
150 OF 2024,17/11/2024,DDJAY-APHP,7.01875,Kharkhauda,NA,SNPC Global Residency LLP,16/11/2029,True,DEV-MATCH,100,name=100,NV CITY- I,HRERA-PKL-SNP-853-2026,SNPC RESIDENCY LIMITED
95 OF 2024,25/07/2024,DDJAY-APHP,12.975,Sonipat,64,Quarterage Developers Pvt. Ltd.,24/07/2029,True,DEV-MATCH,100,name=100,MANTOSH,HRERA-PKL-SNP-631-2024,QUARTERAGE DEVELOPERS PRIVATE LIMITED
142 OF 2025,12/08/2025,DDJAY-APHP,2.56875,Sonipat,64,Quarterage Developers Pvt. Ltd.,11/08/2030,True,DEV-MATCH,100,name=100,MANTOSH,HRERA-PKL-SNP-631-2024,QUARTERAGE DEVELOPERS PRIVATE LIMITED
96 OF 2024,25/07/2024,IPL,17.1,Kharkhauda,NA,Siddhartha Developers,24/07/2029,True,DEV-MATCH,100,name=100,SIDDHARTHA DEVELOPERS,HRERA-PKL-SNP-648-2025,SIDDHARTHA DEVELOPERS
105 OF 2024,01/08/2024,DDJAY-APHP,5.69792,Kharkhauda,10,Nugraj Dream Builders Pvt. Ltd.,31/07/2029,True,PARCEL-MATCH,100,name=100+sector,MAJESTIC GREENS-2,HRERA-PKL-SNP-655-2025,NUGRAJ DREAM BUILDERS PRIVATE LIMITED
116 OF 2024,12/08/2024,DDJAY-APHP,19.4625,Sonipat,70,Surepass Infra LLP,11/08/2029,True,PARCEL-MATCH,100,name=100+sector,ROYAL GREEN COUNTY THE SELECT,HRERA-PKL-SNP-862-2026,SUREPASS INFRA LLP
119 OF 2024,14/08/2024,DDJAY-APHP,12.1125,Kharkhauda,NA,Nugraj Dream Builders Pvt. Ltd.,13/08/2029,True,DEV-MATCH,100,name=100,MAJESTIC GREENS-2,HRERA-PKL-SNP-655-2025,NUGRAJ DREAM BUILDERS PRIVATE LIMITED
155 OF 2024,17/11/2024,DDJAY-APHP,5.1,Sonipat,35,Ultimate Real Housing Pvt Ltd,16/11/2029,True,PARCEL-MATCH,100,name=100+sector,ULTIMA TOWN,HRERA-PKL-SNP-691-2025,ULTIMATE REAL HOUSING PRIVATE LIMITED
159 OF 2024,20/11/2024,DDJAY-APHP,5.7625,Sonipat,83,Manav Associates Pvt. Ltd.,19/11/2029,True,WEAK,79,name=79,SAVANAH GREENS,HRERA-PKL-SNP-708-2025,MANAV ASSOCIATESPRIVATE LIMITED
163 OF 2024,25/11/2024,DDJAY-APHP,18.98125,Kharkhauda,04,Orion Tech Park Developers LLP,24/11/2029,True,DEV-MATCH,100,name=100,ORION CITY,HRERA-PKL-SNP-674-2025,ORION TECH PARK DEVELOPERS LLP
170 OF 2024,28/11/2024,DDJAY-APHP,12.075,Sonipat,41,TRILOKPATI INFRAESTATE PVT LTD,27/11/2029,True,UNMATCHED,0,,,,
189 OF 2024,19/12/2024,DDJAY-APHP,5.26875,Sonipat,26A,U V Landbase Pvt. Ltd.,18/12/2029,True,UNMATCHED,0,,,,
03 OF 2025,07/01/2025,DDJAY-APHP,6.56875,Sonipat,35,Flowtech Estates Private Limited,06/01/2030,True,PARCEL-MATCH,100,name=100+sector,AARANYA GREENS,HRERA-PKL-SNP-675-2025,FLOWTECH ESTATES PRIVATE LIMITED
9 OF 2025,16/01/2025,DDJAY-APHP,6.65625,Sonipat,64,PTRT Builders Pvt. Ltd.,15/01/2030,True,DEV-MATCH,100,name=100,NEWSTONE PARK,HRERA-PKL-SNP-711-2025,PTRT BUILDERS PRIVATE LIMITED
28 OF 2025,18/03/2025,DDJAY-APHP,6.01,Sonipat,92,Kunj Bihari Mines LLP,17/03/2030,True,PARCEL-MATCH,94,name=94+sector,KUNJ BEHARI ENCLAVE,HRERA-PKL-SNP-786-2025,KUNJ BEHARI MINES LLP
29 OF 2025,18/03/2025,DDJAY-APHP,5,Sonipat,80,Rritam Reality LLP,17/03/2030,True,PARCEL-MATCH,100,name=100+sector,RRITAM PEACE VALLEY,HRERA-PKL-SNP-741-2025,RRITAM REALITY LLP
35 OF 2025,24/03/2025,DDJAY-APHP,11.86875,Sonipat,26,SHUBH ASHOK INFRA GROW LLP,23/03/2030,True,UNMATCHED,0,,,,
66 OF 2025,08/05/2025,DDJAY-APHP,5.15,Kharkhauda,7,Laxmi Son Empire Developer LLP,07/05/2030,True,PARCEL-MATCH,100,name=100+sector,LAXMI CITY,HRERA-PKL-SNP-777-2025,LAXMI SON EMPIRE DEVELOPER LLP
78 OF 2025,26/05/2025,IPA,10.3395,Kharkhauda,NA,Mrida Seven Element LLP,25/05/2030,True,DEV-MATCH,100,name=100,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP KHARKHODA,HRERA-PKL-SNP-936-2026,MRIDA SEVEN ELEMENT LLP
91 OF 2025,05/06/2025,CPL,3.05,Sonipat,34,GPB Trading LLP,04/06/2030,True,PARCEL-MATCH,100,name=100+sector,PP GALLERIA,HRERA-PKL-SNP-850-2026,M/S GPB TRADING LLP
