CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-4360,SYSCOM SON IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-4360D,94 OF 2026,14/05/2026,IPA,5.45,Sonipat,13/05/2031,NA,SYSCOM EDUTECH PRIVATE LIMITED,View Land Schedule,View
LC-3817,NEWERA SON-27 DDJAY-APHP,,,01/03/2024,LC-3817A,37 OF 2021,16/07/2021,DDJAY-APHP,5.456,Sonipat,15/07/2026,27,New Era Infrastructure Pvt. Ltd.,View Land Schedule,View
LC-4322,EXPRESS SON-35 DDJAY-APHP,,,,LC-4322A,48 OF 2021,11/08/2021,DDJAY-APHP,11.79375,Sonipat,10/08/2026,35,Express Project Pvt Ltd,View Land Schedule,View
LC-4332,SMN SON-26 DDJAY-APHP,01/08/2025,,,LC-4332A,33 OF 2022,30/03/2022,DDJAY-APHP,5.76875,Sonipat,29/03/2027,26,SMN REALTY LLP,View Land Schedule,View
LC-4403,JINDAL SON-33 DDJAY-APHP (Revised Demarcation cum Zoning Plan),,,,LC-4403A,37 OF 2022,07/04/2022,DDJAY-APHP,5.006,Sonipat,06/04/2027,33,Jindal Realty Pvt Ltd,View Land Schedule,View
LC-4481,CREATIVE SON-17 DDJAY-APHP,,,,LC-4481A,52 OF 2022,06/05/2022,DDJAY-APHP,21.28125,Sonipat,05/05/2027,17,Creative Buildwell Pvt. Ltd,View Land Schedule,View
LC-4630,ROF SON IPA (Zoning Plan),,,,LC-4630A,53 OF 2022,06/05/2022,IPL,33.75,Sonipat,05/05/2027,26,ROF Infratech and Housing Pvt. Ltd.,View Land Schedule,View
LC-4686,RAHUL SON-12 DDJAY-APHP,,,,LC-4686A,67 OF 2022,26/05/2022,DDJAY-APHP,5.02083,Sonipat,25/05/2027,15,Rahul Mangla Food Processing & Cold Storage P. Ltd,View Land Schedule,View
LC-4709,RISHIKA SON-10 DDJAY-APHP,,,,LC-4709A,85 OF 2022,06/07/2022,DDJAY-APHP,19.7375,Sonipat,05/07/2027,10,Rishika Construction LLP,View Land Schedule,View
LC-4627,MAPSKO SON-26 & 27 RPL (Zoning Plan),,,20/05/2026,LC-4627A,98 OF 2022,15/07/2022,RPL,6.7875,Sonipat,14/07/2027,27,Mapsko Builders Pvt. Ltd.,View Land Schedule,View
