Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
18,RERA-PKL-55-2018,PARSVNATH PALIWAL CITY PANIPAT,HRERA-PKL-PNP-120-2019,PARSVNATH DEVELOPERS LIMITED,"SECTOR 38 & 39, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/69 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/69
19,RERA-PKL-1360-2023,SUPARVESH,HRERA-PKL-PNP-518-2023,SUPARVESH BUILDWELL PRIVATE LIMITED,"VILLAGE- KABRI, SECTOR-39",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2660 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2660
20,RERA-PKL-1067-2022,BENZ SHOPPING DISTRICT-17,HRERA-PKL-PNP-330-2022,RANIL HOTELS AND RESORT PRIVATE LIMITED,VILLAGE PATTI TARAF INSAAR SECTOR 17,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1967 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1967
21,RERA-PKL-987-2021,SHREE SHYAM ENCLAVE,HRERA-PKL-PNP-287-2022,BHUVAN DEVELOPERS PRIVATE LIMITED,"VILLAGE SAMALKHA, SECTOR 2",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1794 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1794
22,RERA-PKL-992-2021,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED,"VILLAGE SIMLA MAULANA, SECTOR 40",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1810 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1810
23,RERA-PKL-1298-2023,M3M CITY OF DREAMS II,HRERA-PKL-PNP-523-2023,UTTIRNA INFRAPROJECTS PRIVATE LIMITED,"SECTOR-36 & 38, PANIPAT, HARYANA",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2514 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2514
24,RERA-PKL-1124-2022,THE FLOWER CITY,HRERA-PKL-PNP-353-2022,UPRIGHT INFRAHEIGHTS PRIVATE LIMITED,SECTOR 19,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2103 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2103
25,RERA-PKL-965-2021,EMPERIUM CITY,HRERA-PKL-PNP-279-2021,EMPERIUM REALTY PRIVATE LIMITED,"VILLAGE TARAF RAJPUTAN & TARAF INSAR, SECTOR-1A",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1725 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1725
28,RERA-PKL-999-2021,HARMONY CITY,HRERA-PKL-PNP-294-2022,AAWASONLINE PRIVATE LIMITED,SECTOR-39,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1823 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1823
30,RERA-PKL-941-2021,PANIPAT HI-STREET,HRERA-PKL-PNP-263-2021,BAWA KAPOOR,"B-BLOCK, SUSHANT CITY, SECTOR 19, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1658 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1658
