CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-3662,INFORMAGE ROH-34 DDJAY-APHP,,,27/07/2026,LC-3662A,43 OF 2018,19/06/2018,DDJAY-APHP,12.775,Rohtak,18/06/2026,34,Informage Reality Pvt.Ltd.,View Land Schedule,View
LC-3617,CNR SOFT ROH-22D DDJAY-APHP,,,,LC-3617A,86 OF 2018,10/12/2018,DDJAY-APHP,10.5875,Rohtak,09/12/2025,22D,CNR Leading Softek Pvt. Ltd.,View Land Schedule,View
LC-4467,SUNCITY ROH-34 DDJAY-APHP,,,,LC-4467A,45 OF 2021,11/08/2021,DDJAY-APHP,5.16875,Rohtak,10/08/2026,34,SUNCITY BUILDCON PVT LTD.,View Land Schedule,View
LC-4561,ESSEL ROH-35 DDJAY AHP,,,,LC-4561A,100 OF 2021,18/11/2021,DDJAY-APHP,14.96875,Rohtak,17/11/2026,35,Essel Infra LLP,View Land Schedule,View
LC-4641,NUGRAJ ROH IPA (Layout Plan) (Zoning Plan) (Layout Plan),,,,LC-4641A,28 OF 2022,22/03/2022,IPA,16.9625,Rohtak,21/03/2027,NA,Nugraj Developers LLP,View Land Schedule,View
LC-4641,NUGRAJ ROH IPA (Layout Plan) (Zoning Plan) (Layout Plan),,,,LC-4641B,113 OF 2026,09/06/2026,IPA,24.6125,Rohtak,08/06/2031,NA,Nugraj Developers LLP,View Land Schedule,View
LC-3354,M2M ROH-27A DDJAY-APHP,,,,LC-3354A,96 OF 2022,15/07/2022,DDJAY-APHP,7.418,Rohtak,14/07/2027 (LOI-03.03.2017),27A,M2M BUILDTECH PVT. LTD.,View Land Schedule,View
LC-4647,PALM ROH-25D DDJAY-APHP,,,,LC-4647A,169 OF 2022,22/10/2022,DDJAY-APHP,8.903,Rohtak,21/10/2027,25D,PALM ABODES BUILDCON PVT. LTD.,View Land Schedule,View
LC-4919,FORTEASIA ROH-27A DDJAY-APHP,,,17/04/2026,LC-4919A,175 OF 2022,03/11/2022,DDJAY-APHP,6.925,Rohtak,02/11/2027,27A,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-4918,FORTEASIA ROH-22D DDJAY-APHP,,,19/02/2026,LC-4918A,215 OF 2022,29/12/2022,DDJAY-APHP,22.33125,Rohtak,28/12/2027,22D,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-4918,FORTEASIA ROH-22D DDJAY-APHP,,,19/02/2026,LC-4918B,66 OF 2024,18/06/2027,DDJAY-APHP,6.8625,Rohtak,17/06/2029,22D,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-4920,FORTEASIA ROH-22D DDJAY-APHP,,,,LC-4920A,217 OF 2022,29/12/2022,DDJAY-APHP,8.5875,Rohtak,28/12/2027,22D,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-3268,ORANGE ROH-26-A DDJAY-APHP,,,,LC-3268A,35 OF 2023,16/02/2023,DDJAY-APHP,6.16875,Rohtak,15/02/2028,26A,ORANGE CASTLE PVT. LTD.,View Land Schedule,View
LC-4921,FORTEASIA ROH-22D DDJAY-APHP,,,,LC-4921A,37 OF 2023,20/02/2023,DDJAY-APHP,6.0625,Rohtak,19/02/2028,22D,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-5018,NVRLLP ROH-21-E DDJAY-APHP (Demarcation cum Zoning Plan),,,,LC-5018A,54 OF 2023,16/03/2023,DDJAY-APHP,18.075,Rohtak,15/03/2028,21E,NV Residency LLP,View Land Schedule,View
LC-5018,NVRLLP ROH-21-E DDJAY-APHP (Demarcation cum Zoning Plan),,,,LC-5018B,149 OF 2024,17/11/2024,DDJAY-APHP,8.2875,Rohtak,16/11/2029,21E,NV Residency LLP,View Land Schedule,View
LC-4959,PRIMA ROH-21-E DDJAY-APHP,,,,LC-4959A,68 OF 2023,29/03/2023,DDJAY-APHP,11.8,Rohtak,28/03/2028,21E,Prima Land and Housing LLP,View Land Schedule,View
LC-4964,RISSAN ROH-33&33-A DDJAY-APHP,,,,LC-4964A,74 OF 2023,06/04/2023,DDJAY-APHP,15.15625,Rohtak,05/04/2028,33A,Rissan Buildtech LLP,View Land Schedule,View
LC-4926,RITU ROH-27A DDJAY-APHP,,,,LC-4926A,98 OF 2023,04/05/2023,DDJAY-APHP,5.73125,Rohtak,03/05/2028,27A,Dr. Ritu Goyal,View Land Schedule,View
LC-4962,SUMITRA JHA IPA Layout Plan (Zoning Plan),15/05/2023,,,LC-4962A,105 OF 2023,12/05/2023,IPA,14.89375,SAMPLA in Jhajjar,11/05/2028,,Sumitra Constructions Pvt. Ltd.,View Land Schedule,View
LC-4586,ARJK ROH-22D DDJAY-APHP (Revised Layout Plan) (Revised Demarcation cum Zoning Plan) (Revised Layout cum Demarcation Plan),,,,LC-4586A,108 OF 2023,17/05/2023,DDJAY-APHP,12.0875,Rohtak,16/05/2028,22D,ARJK DEVELOPERS PVT. LTD.,View Land Schedule,View
LC-4586,ARJK ROH-22D DDJAY-APHP (Revised Layout Plan) (Revised Demarcation cum Zoning Plan) (Revised Layout cum Demarcation Plan),,,,LC-4586B,109 OF 2025,02/07/2025,DDJAY-APHP,2.2,Rohtak,01/07/2030,22D,ARJK DEVELOPERS PVT. LTD.,View Land Schedule,View
LC-4880,BKS JHA IPA (EPP) Layout Plan (Demarcation Cum Zoning Plan),,,,LC-4880A,110 OF 2023,18/05/2023,IPA,12.44375,SAMPLA in Jhajjar,17/05/2028,,BKS Infra Developers Pvt. Ltd.,View Land Schedule,View
LC-4320,VIJAYLAXMI ROH DDJAY-APHP,,,,LC-4320A,144 OF 2023,11/07/2023,DDJAY-APHP,5.218,Rohtak,10/07/2028,22D,Vijaylaxmi Infrabuild Pvt. Ltd.,View Land Schedule,View
LC-4735,SUHAG ROH-22D DDJAY-APHP,,,,LC-4735A,152 OF 2023,25/07/2023,DDJAY-APHP,5.11875,Rohtak,24/07/2028,22D,Suhag Realty,View Land Schedule,View
LC-4040,ONE ROH-27A DDJAY-APHP ( Demarcation - Cum Zoning Plan ),,,,LC-4040A,157 OF 2023,09/08/2023,DDJAY-APHP,15.8125,Rohtak,08/08/2028,27A,ONE HEIGHT DEVELOPERS PVT LTD,View Land Schedule,View
